tconst,title,year,genres,rating,numVotes
tt0111161,The Shawshank Redemption,1994.0,Drama,9.3,3055462
tt0068646,The Godfather,1972.0,"Crime, Drama",9.2,2133122
tt0071562,The Godfather Part II,1974.0,"Crime, Drama",9.0,1435280
tt0468569,The Dark Knight,2008.0,"Action, Crime, Drama, Thriller",9.0,3030607
tt0050083,12 Angry Men,1957.0,"Crime, Drama",9.0,930799
tt0108052,Schindler's List,1993.0,"Biography, Drama, History",9.0,1529079
tt0167260,The Lord of the Rings: The Return of the King,2003.0,"Adventure, Drama, Fantasy",9.0,2085007
tt0110912,Pulp Fiction,1994.0,"Crime, Drama",8.8,2342660
tt0060196,"The Good, the Bad and the Ugly",1966.0,"Adventure, Drama, Western",8.8,857663
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0,"Adventure, Drama, Fantasy",8.9,2115235
tt0137523,Fight Club,1999.0,"Crime, Drama, Thriller",8.8,2474696
tt0109830,Forrest Gump,1994.0,"Drama, Romance",8.8,2387302
tt1375666,Inception,2010.0,"Action, Adventure, Sci-Fi, Thriller",8.8,2693049
tt0167261,The Lord of the Rings: The Two Towers,2002.0,"Adventure, Drama, Fantasy",8.8,1879472
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980.0,"Action, Adventure, Fantasy, Sci-Fi",8.7,1448014
tt0133093,The Matrix,1999.0,"Action, Sci-Fi",8.7,2161924
tt0099685,Goodfellas,1990.0,"Biography, Crime, Drama",8.7,1330914
tt0073486,One Flew Over the Cuckoo's Nest,1975.0,Drama,8.7,1120611
tt0047478,Seven Samurai,1954.0,"Action, Drama",8.6,386192
tt0114369,Se7en,1995.0,"Crime, Drama, Mystery, Thriller",8.6,1917801
tt0038650,It's a Wonderful Life,1946.0,"Drama, Family, Fantasy, Romance",8.6,529213
tt0102926,The Silence of the Lambs,1991.0,"Crime, Drama, Horror, Thriller",8.6,1641551
tt0076759,Star Wars: Episode IV - A New Hope,1977.0,"Action, Adventure, Fantasy, Sci-Fi",8.6,1515210
tt0317248,City of God,2002.0,"Crime, Drama",8.6,839811
tt0118799,Life Is Beautiful,1997.0,"Comedy, Drama, Romance, War",8.6,780822
tt0114814,The Usual Suspects,1995.0,"Crime, Drama, Mystery, Thriller",8.5,1192940
tt0245429,Spirited Away,2001.0,"Animation, Adventure, Family, Fantasy, Mystery",8.6,914372
tt0120815,Saving Private Ryan,1998.0,"Drama, War",8.6,1574678
tt0110413,Léon: The Professional,1994.0,"Action, Crime, Drama, Thriller",8.5,1306201
tt0816692,Interstellar,2014.0,"Adventure, Drama, Sci-Fi",8.7,2355957
tt0120689,The Green Mile,1999.0,"Crime, Drama, Fantasy, Mystery",8.6,1490819
tt0056058,Harakiri,1962.0,"Drama, Mystery",8.6,80479
tt0120586,American History X,1998.0,"Crime, Drama",8.5,1234017
tt0027977,Modern Times,1936.0,"Comedy, Drama, Romance",8.5,274015
tt0054215,Psycho,1960.0,"Drama, Horror, Mystery, Thriller",8.5,754976
tt0021749,City Lights,1931.0,"Comedy, Drama, Romance",8.5,207708
tt0253474,The Pianist,2002.0,"Biography, Drama, Music, War",8.5,971215
tt2582802,Whiplash,2014.0,"Drama, Music",8.5,1079449
tt1675434,The Intouchables,2011.0,"Comedy, Drama",8.5,981689
tt0172495,Gladiator,2000.0,"Action, Adventure, Drama",8.5,1766253
tt0482571,The Prestige,2006.0,"Drama, Mystery, Sci-Fi, Thriller",8.5,1519573
tt0407887,The Departed,2006.0,"Crime, Drama, Thriller",8.5,1492514
tt2584384,Jojo Rabbit,2019.0,"Comedy, Drama, War",7.9,468922
tt0034583,Casablanca,1942.0,"Drama, Romance, War",8.5,633917
tt0090605,Aliens,1986.0,"Action, Adventure, Horror, Sci-Fi, Thriller",8.4,810996
tt1853728,Django Unchained,2012.0,"Drama, Western",8.5,1797432
tt0910970,WALL·E,2008.0,"Animation, Adventure, Family, Sci-Fi",8.4,1265292
tt4154756,Avengers: Infinity War,2018.0,"Action, Adventure, Sci-Fi",8.4,1293114
tt4633694,Spider-Man: Into the Spider-Verse,2018.0,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",8.4,734895
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,"Comedy, War",8.3,539257
tt0364569,Oldboy,2003.0,"Action, Drama, Mystery, Thriller",8.3,681895
tt0088763,Back to the Future,1985.0,"Adventure, Comedy, Sci-Fi",8.5,1382430
tt1345836,The Dark Knight Rises,2012.0,"Action, Crime, Drama, Thriller",8.4,1918621
tt0169547,American Beauty,1999.0,Drama,8.3,1251354
tt4154796,Avengers: Endgame,2019.0,"Action, Adventure, Sci-Fi",8.4,1363335
tt0078788,Apocalypse Now,1979.0,"Drama, Mystery, War",8.4,744234
tt0209144,Memento,2000.0,"Mystery, Thriller",8.4,1382677
tt0053125,North by Northwest,1959.0,"Adventure, Drama, Mystery, Thriller",8.3,361209
tt0032553,The Great Dictator,1940.0,"Comedy, Drama, War",8.4,249530
tt0064116,Once Upon a Time in the West,1968.0,"Drama, Western",8.5,369565
tt0180093,Requiem for a Dream,2000.0,Drama,8.3,941504
tt0110357,The Lion King,1994.0,"Animation, Adventure, Drama, Family, Musical",8.5,1207266
tt0082971,Raiders of the Lost Ark,1981.0,"Action, Adventure",8.4,1077209
tt1187043,3 Idiots,2009.0,"Comedy, Drama",8.4,460565
tt8267604,Capernaum,2018.0,Drama,8.4,116811
tt0078748,Alien,1979.0,"Horror, Sci-Fi",8.5,1019276
tt7286456,Joker,2019.0,"Crime, Drama, Thriller",8.3,1614481
tt0095765,Cinema Paradiso,1988.0,"Drama, Romance",8.5,302476
tt0022100,M,1931.0,"Crime, Mystery, Thriller",8.3,177664
tt0043014,Sunset Boulevard,1950.0,"Drama, Film-Noir",8.4,249653
tt0198781,"Monsters, Inc.",2001.0,"Animation, Adventure, Comedy, Family, Fantasy",8.1,1031343
tt0050825,Paths of Glory,1957.0,"Drama, War",8.4,226748
tt0081505,The Shining,1980.0,"Drama, Horror",8.4,1170527
tt0086879,Amadeus,1984.0,"Biography, Drama, Music",8.4,449917
tt0093058,Full Metal Jacket,1987.0,"Drama, War",8.2,824285
tt1205489,Gran Torino,2008.0,Drama,8.1,841341
tt0914863,Unthinkable,2010.0,"Crime, Drama, Thriller",7.0,97891
tt0057565,High and Low,1963.0,"Crime, Drama, Mystery, Thriller",8.4,60935
tt0361748,Inglourious Basterds,2009.0,"Adventure, Drama, War",8.4,1689595
tt0056172,Lawrence of Arabia,1962.0,"Adventure, Biography, Drama, War",8.3,330046
tt0338013,Eternal Sunshine of the Spotless Mind,2004.0,"Drama, Romance, Sci-Fi",8.3,1139850
tt0062622,2001: A Space Odyssey,1968.0,"Adventure, Sci-Fi",8.3,755528
tt0033467,Citizen Kane,1941.0,"Drama, Mystery",8.3,482891
tt0070735,The Sting,1973.0,"Comedy, Crime, Drama",8.2,291216
tt2106476,The Hunt,2012.0,Drama,8.3,389592
tt0119698,Princess Mononoke,1997.0,"Animation, Adventure, Fantasy",8.3,462081
tt0017136,Metropolis,1927.0,"Drama, Sci-Fi",8.3,195108
tt0045152,Singin' in the Rain,1952.0,"Comedy, Musical, Romance",8.3,273379
tt0112573,Braveheart,1995.0,"Biography, Drama, War",8.3,1131781
tt0040522,Bicycle Thieves,1948.0,Drama,8.2,186061
tt10872600,Spider-Man: No Way Home,2021.0,"Action, Adventure, Fantasy, Sci-Fi",8.2,956621
tt0051201,Witness for the Prosecution,1957.0,"Crime, Drama, Mystery, Thriller",8.4,150646
tt0075314,Taxi Driver,1976.0,"Crime, Drama",8.2,982238
tt0091251,Come and See,1985.0,"Drama, Thriller, War",8.3,112927
tt0012349,The Kid,1921.0,"Comedy, Drama, Family",8.2,141685
tt0042192,All About Eve,1950.0,Drama,8.2,145153
